all,все,
and,и,
boy,мальчик,
car,автомобиль,
cat,Кот,
day,день,
end,конец,
family,семья,
home,Главная,
it,Это,
man,мужчина,
name,имя,
one,один,
people,люди,
read,читать,
school,школа,
speak,разговаривать,
the,the,
this,это,
you,ты,
ask,спросить,
book,книга,
can,мочь,
dog,собака,
eye,глаз,
first,первый,
go,идти,
he,он,
child,ребенок,
in,в,
learn,учиться,
morning,утро,
open,открытый,
play,играть,в
question,вопрос,
room,комната,
say,сказать,
start,Начало,
today,Cегодня,
word,слово,
about,около,
at,в,
brother,брат,брат
drink,напиток,
easy,легко,
father,отец,
girl,девушка,
help,Помогите,
chair,стул,
know,знать,
my,мой,
new,новый,
paper,бумага,
please,пожалуйста,
rich,богатый,
she,она,
show,Показать,
son,сын,
they,Oни,
what,какие,
always,всегда,
be,быть,
body,тело,
careful,осторожный,
cry,плакать,
door,дверь,
everything,все,
face,лицо,
her,ее,
if,если,
many,многие,
no,нет,
pen,ручка,
place,место,
road,Дорога,
stop,стоп,
student,студент,
two,два,
want,хотеть,
where,где,
answer,ответ,
between,между,
clear,Чисто,
country,страна,
dance,танцевать,
do,делать,
each,каждый,
friend,друг,
his,его,
job,работа,
life,жизнь,
more,Больше,
park,парк,
person,человек,
ready,готов,
second,второй,
soon,скоро,
that,тот,
we,мы,
why,Почему,
able,способный,
before,до,
but,но,
clean,чистый,
close,Закрыть,
dream,мечта,
for,за,
hand,рука,
inside,внутри,
or,или,же
picture,рисунок,
river,река,
ship,судно,
shop,магазин,
sit,сидеть,
table,стол,
very,очень,
write,записывать,
air,воздух,
black,черный,
cinema,кино,
daughter,дочь,
eat,есть,
from,из,
good,хорошо,
head,голова,
cheese,сыр,
important,важный,
land,земля,
money,Деньги,
pay,платить,
problem,проблема,
run,бежать,
see,видеть,
send,Отправить,
thing,предмет,
work,Работа,
any,Любые,
better,лучше,
cold,холодно,
come,прийти,
doctor,доктор,
find,находить,
game,игра,
idea,идея,
make,сделать,
peace,мир,
popular,популярный,
right,правильно,
small,небольшой,
so,так,
some,несколько,
there,там,
wait,Подождите,
back,назад,
could,мог,
document,документ,
egg,яйцо,
fire,Огонь,
give,дайте,
chance,шанс,
information,Информация,
light,свет,
may,май,
prefer,предпочитаю,
put,положить,
red,красный,
stone,камень,
such,такой,
think,считать,
understand,понять,
visit,визит,
around,вокруг,
best,Лучший,
call,вызов,
cut,порез,
dinner,ужин,
down,вниз,
explain,объяснять,
get,получить,
interesting,интересно,
long,долго,
move,переехать,
out,из,
page,страница,
reach,достичь,
rest,остаток,
set,набор,
should,должен,
stand,стоять,
time,время,
up,вверх,
age,возраст,
big,большой,
camera,камера,
city,город,
dress,платье,
evening,вечер,
free,свободный,
have,иметь,
ill,больной,
like,нравиться,
mother,мать,
old,старый,
police,полиция,
remember,Помните,
street,улица,
study,исследование,
teacher,учитель,
voice,голос,
water,вода,
also,также,
box,коробка,
class,класс,
difficult,трудно,
drive,водить,
food,еда,
great,отличный,
happy,счастливый,
change,изменение,
juice,сок,
meet,встретиться,
need,нужно,
pretty,довольно,
quite,вполне,
real,настоящий,
sad,грустный,
spring,весна,
star,звезда,
take,взять,
yes,да,
action,действие,
breakfast,завтрак,
continue,Продолжить,
dead,мертвый,
enjoy,наслаждаться,
full,полный,
garden,сад,
house,дом,
journey,поездка,
5,,
much,много,
nothing,ничего,
phone,Телефон,
price,цена,
result,результат,
sister,сестра,
sun,солнце,
tell,рассказать,
view,Посмотреть,
against,против,
bus,автобус,
company,Компания,
desert,пустыня,
expensive,дорого,
flower,цветок,
green,зеленый,
church,церковь,
impossible,невозможно,
leave,покинуть,
month,месяц,
on,на,
possible,возможно,
return,возвращение,
save,спасти,
sea,море,
something,что-то,
together,вместе,
woman,женщина,
anything,что-нибудь,
army,армия,
bad,Плохо,
cover,покрытие,
culture,культура,
decision,решение,
example,пример,
feel,Чувствовать,
how,как,
island,остров,
member,член,
next,следующий,
position,должность,
present,подарок,
record,запись,
sleep,спать,
sweet,сладкий,
try,пытаться,
under,под,
world,Мир,
after,после,
bed,постель,
buy,купить,
catch,поймать,
corner,угол,
distance,расстояние,
education,образование,
fast,быстрый,
here,Вот,
interest,интерес,
letter,письмо,
never,никогда,
part,часть,
president,президент,
round,круглый,
several,несколько,
sound,звук,
story,сказка,
talk,говорить,
week,неделю,
almost,почти,
bread,хлеб,
control,контроль,
dear,дорогой,
every,каждый,
few,несколько,
gold,золото,
chief,начальник,
invite,пригласить,
late,поздно,
most,большинство,
only,только,
product,продукт,
public,общественный,
receive,Получать,
sorry,извиняюсь,
strong,сильный,
then,тогда,
too,тоже,
way,путь,
across,через,
art,искусство,
bring,принести,
carry,нести,
confirm,подтвердить,
die,умереть,
east,восток,
group,группа,
hope,надежда,
industry,промышленность,
look,смотреть,
must,должен,
own,своя,
personal,личный,
reason,причина,
service,служба,
shall,должен,
stay,остаться,
their,их,
wife,жена,
away,прочь,
beautiful,прекрасный,
care,уход,
cost,Стоимость,
deep,глубокий,
enough,довольно,
fight,борьба,
garage,гараж,
into,в,
keep,хранить,
miss,скучать,
other,разное,
player,игрок,
rather,скорее,
remain,оставаться,
side,боковая сторона,
south,юг,
true,правда,
use,использовать,
who,кто,
already,уже,
become,стали,
cause,причина,
certain,определенный,
describe,описать,
dry,сухой,
expect,ожидать,
fact,факт,
hard,жесткий,
include,включают,
let,позволять,
moment,момент,
power,мощность,
provide,предоставлять,
report,отчет,
seat,сиденье,
single,не замужем,
system,система,
through,через,
which,который,
apple,яблоко,
blue,синий,
clock,Часы,
colour,цвет,
different,другой,
earth,Земля,
film,фильм,
glad,Рады,
hour,час,
just,просто,
love,любить,
number,количество,
pencil,карандаш,
quick,быстрый,
rain,дождь,
simple,просто,
summer,летом,
town,город,
tree,дерево,
window,окно,
address,адрес,
building,здание,
computer,компьютер,
cross,пересекать,
desk,стол письменный,
ear,ухо,
fish,рыбы,
glass,стакан,
ice,лед,
key,ключ,
minute,минута,
office,офис,
parent,родитель,
post,после,
rock,Скала,
search,поиск,
sport,спорт,
tea,чай,
valley,долина,
walk,ходить,
airport,аэропорт,
baby,детка,
card,карта,
central,центральный,
direction,направление,
dollar,доллар,
fruit,фрукты,
gift,подарок,
high,высоко,
illness,болезнь,
milk,молоко,
not,не,
piece,кусок,
protect,защищать,
race,гонка,
since,поскольку,
slow,медленный,
smile,улыбка,
ticket,билет,
well,хорошо,
accident,несчастный случай,
blood,кровь,
business,бизнес,
even,четный,
floor,этаж,
general,генеральный,
choose,выберите,
little,маленький,
meeting,встреча,
order,заказ,
party,партия,
pink,розовый,
reply,Ответить,
snow,снег,
sugar,сахар,
travel,путешествовать,
virus,вирус,
watch,часы,
another,еще один,
believe,верить,
crazy,псих,
cup,чашка,
decide,принять решение,
ever,всегда,
field,поле,
heart,сердце,
imagine,представить,
line,линия,
meat,мясо,
over,над,
pull,вытащить,
ring,кольцо,
sell,продавать,
similar,аналогичный,
speed,скорость,
than,чем,
your,твой,
above,выше,
begin,начать,
century,век,
consider,рассматривать,
dangerous,опасно,
dark,тьма,
exchange,обмен,
government,правительство,
hear,слышать,
jump,Прыжок,
material,материал,
near,возле,
past,мимо,
produce,производить,
remove,удалять,
secret,секрет,
song,песня,
television,телевидение,
value,значение,
when,когда,
arm,рука,
behind,позади,
case,дело,
collect,собирать,
draw,рисовать,
examine,исследовать,
fall,падать,
grow,расти,
immediately,немедленно,
low,низкий,
mind,разум,
off,выключен,
pass,проходить,
radio,радио,
shoe,обувь,
station,станция,
sure,конечно,
usual,обычный,
ago,тому назад,
along,вместе,
bear,нести,
condition,состояние,
direct,непосредственный,
edge,край,
fine,хорошо,
half,половина,
chicken,курица,
increase,увеличение,
magazine,журнал,
nature,природа,
plate,тарелка,
poor,бедных,
respect,уважение,
sharp,острый,
sometimes,иногда,
still,Все еще,
tall,высокий,
would,было бы,
add,Добавить,
among,среди,
built,построен,
common,общий,
depend,зависеть,
early,рано,
fly,летать,
happen,случиться,
check,чек,
introduce,вводить,
less,Меньше,
mark,отметка,
patient,терпеливый,
perhaps,возможно,
rise,подниматься,
sense,смысл,
short,короткая,
state,штат,
turn,перемена,
will,будут,
act,действовать,
appear,появиться,
break,сломать,
course,курс,
court,суд,
discuss,обсудить,
effect,эффект,
form,форма,
hold,держать,
insect,насекомое,
mean,значить,
once,один раз,
purpose,цель,
really,действительно,
ride,поездка,
situation,ситуация,
success,успех,
though,хотя,
upon,на,
war,война,
afternoon,после полудня,
busy,занятый,
coffee,кофе,
detail,деталь,
especially,особенно,
finish,Конец,
ground,земля,
holiday,праздничный день,
choice,выбор,
kitchen,кухня,
lesson,урок,
music,Музыка,
orange,апельсин,
perfect,идеальный,
request,запрос,
season,сезон,
sick,больной,
tomorrow,завтра,
welcome,добро пожаловать,
yesterday,вчерашний день,
agree,дать согласие,
bridge,мост,
cake,торт,
customer,клиент,
date,свидание,
enter,войти,
future,будущее,
gentleman,джентльмен,
hair,волосы,
image,образ,
language,язык,
market,рынок,
plane,самолет,
private,частный,
restaurant,ресторан,
size,размер,
sky,небо,
smart,умная,
thank,благодарить,
weather,Погода,
actor,актер,
bottle,бутылка,
cloth,ткань,
coat,Пальто,
destroy,уничтожить,
everywhere,везде,
finger,Палец,
guide,руководство,
improve,улучшить,
knife,нож,
large,большой,
mistake,ошибка,
ocean,океан,
plant,растение,
repeat,повторение,
salt,соль,
special,специальный,
teach,учат,
uncle,дядя,
winter,зима,
angry,сердитый,
article,статья,
build,строить,
dirty,грязный,
except,Кроме,
famous,известный,
gas,газ,
hotel,отель,
cheap,дешево,
interview,интервью,
moon,Луна,
nice,отлично,
prepare,подготовить,
prison,тюрьма,
rice,рис,
seem,кажется,
skirt,юбка,
strange,странный,
train,поезд,
warm,теплый,
account,Счет,
bird,птица,
cloud,облако,
comfortable,удобный,
damage,повреждение,
dust,пыль,
exercise,упражнение,
favourite,любимый,
hospital,больница,
joke,шутка,
message,сообщение,
night,ночь,
paint,покрасить,
pleasure,удовольствие,
relationship,отношения,
science,наука,
serious,серьезный,
spend,проводить,
tired,усталый,
wrong,неправильно,
amount,количество,
bank,банка,
brown,коричневый,
engine,двигатель,
follow,следовать,
chocolate,шоколад,
individual,индивидуальный,
left,слева,
meal,еда,
oil,масло,
pain,боль,
probably,вероятно,
replace,заменить,
society,общество,
square,квадрат,
step,шаг,
temperature,температура,
university,Университет,
accept,принять,
advance,продвижение,
bag,сумка,
captain,капитан,
centre,центр,
demand,потребность,
enemy,враг,
factory,фабрика,
hungry,голоден,
